Day 27
Intern Lucy-4 tried washing a vehicle.
Intern Desi-4 tried washing a vehicle.
Intern Ethel-5 tried washing a vehicle.
Mechanic Spock tried repairing a vehicle.
Mechanic James-2 tried repairing a vehicle.
Mechanic Scotty-2 tried repairing a vehicle.
Salesperson Monica-2 sold a vehicle for $38,658.00
Salesperson Monica-2 sold a vehicle for $82,870.00
Salesperson Monica-2 sold a vehicle for $141,582.00
Salesperson Chandler-2 sold a vehicle for $90,035.62
$120.00 paid to Spock for working at FNCD
$100.00 paid to Dale for working at FNCD
$100.00 paid to Mario for working at FNCD
$100.00 paid to Lewis for working at FNCD
$120.00 paid to James-2 for working at FNCD
$890.00 paid to Chandler-2 for working at FNCD
$1,890.00 paid to Monica-2 for working at FNCD
$120.00 paid to Scotty-2 for working at FNCD
$60.00 paid to Lucy-4 for working at FNCD
$60.00 paid to Desi-4 for working at FNCD
$90.00 paid to Ross-2 for working at FNCD
$60.00 paid to Ethel-5 for working at FNCD
