Day 29
Driver Dale is driving Motorcycles Kawasaki
Driver Mario is driving Pickup Tundra-2
Driver Lewis is driving Motorcycles Fancy Bicycle-2
Driver Dale ranked #6 in the race!
Driver Mario ranked #16 in the race!
Driver Lewis ranked #12 in the race!
$120.00 paid to Spock for working at FNCD
$100.00 paid to Dale for working at FNCD
$100.00 paid to Mario for working at FNCD
$100.00 paid to Lewis for working at FNCD
$120.00 paid to James-2 for working at FNCD
$90.00 paid to Chandler-2 for working at FNCD
$90.00 paid to Monica-2 for working at FNCD
$60.00 paid to Lucy-4 for working at FNCD
$120.00 paid to Spock-2 for working at FNCD
$90.00 paid to Ross-2 for working at FNCD
$60.00 paid to Ethel-5 for working at FNCD
